tank_name, tank_country, tank_colour, tank_manufacturer
Leopard 2A5, China, green, Chrysler
AMX-30S, Russia, green, BAE Systems
T-90M, Russia, grey, Ford
M60A1 Patton, Russia, grey, Leyland
M60 Patton, Russia, green, Mitsubishi
T-80, Russia, brown, Renault
Challenger 2, Russia, grey, Leyland
AMX-30, USA, grey, Mitsubishi
Challenger 1, France, grey, Chrysler
T-80, Russia, green, Mitsubishi
Centurion Mk 3, UK, brown, Norinco
Type 99, France, green, Mitsubishi
M26 Pershing, China, green, Krauss-Maffei
Type 99, USA, grey, Uralazgad
AMX-56, Russia, brown, BAE Systems
Type 85, USA, green, Renault
Stridsvagn 103, Germany, green, Uralazgad
T-90M, China, grey, Volvo
T-72, China, grey, Krauss-Maffei
Challenger 1, USA, brown, Krauss-Maffei
T-72AV, Germany, green, Chrysler
M48 Patton, Russia, green, Renault
AMX-30S, Russia, blue, Leyland
Stridsvagn 104, USA, brown, Uralazgad
M1 Abrams, Sweden, grey, Uralazgad
M1A1 Abrams, China, green, Uralazgad
T-84, USA, grey, Renault
T-14 Armata, Russia, brown, BAE Systems
Centurion Mk 5, Russia, grey, Uralazgad
M26 Pershing, China, white, Volvo
T-72M1, Germany, grey, Uralazgad
Leopard 2A6, France, green, Krauss-Maffei
AMX-30S, Germany, black, Norinco
Type 85, Russia, white, Norinco
M26B Pershing, Germany, grey, Norinco
Leopard 2A6, USA, grey, Norinco
Leopard 1, Russia, white, Chrysler
T-14 Armata, USA, grey, Uralazgad
Type 99A, Sweden, grey, Leyland
Type 61, USA, brown, Uralazgad
Leopard 2A6, USA, blue, Uralazgad
Centurion Mk 3, France, grey, Ford
M4 Sherman, Russia, green, Chrysler
Challenger 2, China, brown, Leyland
Type 98, Japan, grey, Renault
Type 61, Germany, blue, Chrysler
T-90S, Russia, brown, Uralazgad
Type 98, China, green, Mitsubishi
T-55A, France, white, Chrysler
Type 99, USA, grey, BAE Systems
Challenger 1, Japan, grey, Renault
Leopard 2A6, USA, green, Chrysler
M48A2 Patton, UK, sand, Uralazgad
Centurion Mk 3, USA, sand, BAE Systems
AMX-30, Russia, brown, BAE Systems
M4A4 Sherman, Germany, green, Krauss-Maffei
T-84, Russia, green, Chrysler
Type 74, USA, blue, Uralazgad
T-80, Russia, blue, Renault
Stridsvagn 103, China, grey, Mitsubishi
Type 98, Russia, grey, Uralazgad
Challenger 1, USA, sand, Uralazgad
T-90M, Russia, green, Uralazgad
Challenger 2, Russia, grey, Uralazgad
M26B Pershing, UK, grey, Uralazgad
T-72M1, UK, grey, Mitsubishi
Type 96, France, green, Uralazgad
AMX-30S, Russia, green, Uralazgad
Stridsvagn 104, Russia, green, Ford
Type 98, Russia, brown, Krauss-Maffei
T-80, USA, grey, Renault
Type 96, Russia, green, Leyland
Challenger 1, France, grey, Volvo
T-80U, Russia, grey, Volvo
T-72, UK, grey, Leyland
Stridsvagn 103, UK, grey, Uralazgad
M1A1 Abrams, China, grey, Renault
T-55A, Japan, grey, Chrysler
Leopard 1, Russia, grey, Krauss-Maffei
Type 85, Sweden, brown, Uralazgad
Type 99A, France, black, Norinco
AMX-30, France, green, Krauss-Maffei
Leopard 2A6, USA, white, Renault
M4 Sherman, USA, green, Ford
M26A1 Pershing, China, grey, Renault
Centurion Mk 3, France, green, Uralazgad
Leopard 2, Sweden, grey, Renault
Leopard 2, China, white, Renault
Leopard 2A6, Germany, grey, Mitsubishi
M26 Pershing, Germany, green, Uralazgad
M26A1 Pershing, Russia, brown, Mitsubishi
AMX-30, Russia, green, Uralazgad
T-55A, Russia, brown, Krauss-Maffei
M1 Abrams, Russia, grey, Chrysler
T-34/85, China, grey, Uralazgad
Type 85, Russia, sand, Ford
M4 Sherman, Germany, grey, Ford
Challenger 1, UK, grey, Uralazgad
Leopard 2A5, USA, green, Ford
M26 Pershing, Russia, grey, Volvo
Leopard 2A6, Germany, grey, Uralazgad
Centurion Mk 5, Russia, white, Chrysler
M48A2 Patton, USA, green, BAE Systems
Type 99A, China, green, Krauss-Maffei
T-14 Armata, China, grey, Chrysler
M4A4 Sherman, Japan, brown, Uralazgad
AMX-56, Russia, brown, Krauss-Maffei
T-90S, USA, grey, Volvo
AMX-30S, USA, green, Uralazgad
AMX-56, Russia, white, Leyland
T-34, USA, grey, Chrysler
Type 74, China, brown, Uralazgad
T-72, Japan, grey, Norinco
M26A1 Pershing, Sweden, grey, Leyland
M60 Patton, USA, grey, Chrysler
M4A3 Sherman, Russia, blue, Mitsubishi
T-90S, USA, sand, Mitsubishi
Stridsvagn 104, China, grey, Renault
Type 74, Germany, grey, Uralazgad
Type 74, USA, green, Leyland
Leopard 2A6, Russia, brown, Krauss-Maffei
Stridsvagn 103, USA, grey, Volvo
M60A1 Patton, Russia, sand, Uralazgad
M48A2 Patton, USA, brown, Mitsubishi
M48 Patton, USA, blue, Leyland
M4 Sherman, USA, green, BAE Systems
M1A1 Abrams, Russia, black, Volvo
M60A1 Patton, Russia, grey, Leyland
T90, USA, grey, Norinco
Type 99A, Russia, sand, Chrysler
AMX-56, Germany, black, Chrysler
Centurion, China, blue, Uralazgad
T-72, Russia, green, Volvo
Type 99A, Japan, grey, Renault
Centurion, UK, grey, Mitsubishi
Leopard 1, USA, grey, Volvo
Type 98, Germany, white, Renault
T-14 Armata, Russia, brown, Uralazgad
AMX-30S, Russia, white, Krauss-Maffei
AMX-30, UK, brown, BAE Systems
T-84, Japan, sand, Uralazgad
Type 85, UK, green, Krauss-Maffei
Type 85, USA, grey, Volvo
M1A1 Abrams, Japan, green, Renault
M1A2 Abrams, Germany, blue, Norinco
M48 Patton, Sweden, grey, Krauss-Maffei
Stridsvagn 103, Sweden, black, Ford
T-34, Russia, green, Ford
M1A1 Abrams, Russia, brown, Uralazgad
T-55, Sweden, green, Norinco
M4 Sherman, Russia, white, Volvo
AMX-30, Russia, sand, Leyland
M60A1 Patton, Russia, white, Uralazgad
T-84, Sweden, sand, Chrysler
Type 99, Russia, blue, Uralazgad
T-72AV, UK, grey, Leyland
M4A4 Sherman, USA, black, Norinco
T-34, Russia, green, Uralazgad
Type 85, USA, grey, Chrysler
M4A4 Sherman, UK, brown, Renault
Type 85, Russia, green, Chrysler
Type 74, China, green, Krauss-Maffei
AMX-30, Russia, green, Mitsubishi
AMX-30, Germany, green, BAE Systems
T-80U, Russia, green, Uralazgad
Leopard 1A6, USA, brown, Norinco
T-80U, USA, blue, Uralazgad
T-14 Armata, USA, grey, BAE Systems
T-90S, Russia, green, Uralazgad
M26 Pershing, UK, brown, Ford
Centurion, USA, green, Uralazgad
M4A3 Sherman, Russia, grey, Uralazgad
T-80, Russia, brown, Uralazgad
Centurion, Germany, grey, Uralazgad
M26 Pershing, France, green, Uralazgad
Type 99, Sweden, green, Mitsubishi
T-14 Armata, USA, brown, Renault
M60 Patton, China, green, Uralazgad
Centurion Mk 5, China, grey, Uralazgad
M4 Sherman, Russia, green, Chrysler
T-34/85, USA, grey, Uralazgad
Leopard 2, China, grey, Chrysler
Leopard 2, USA, green, Krauss-Maffei
Leopard 2A6, China, sand, Uralazgad
Type 96, China, green, Krauss-Maffei
T-72AV, USA, white, Mitsubishi
M60 Patton, Russia, green, Krauss-Maffei
M4A4 Sherman, Sweden, grey, Norinco
M26B Pershing, Germany, grey, Norinco
Centurion Mk 3, UK, sand, Chrysler
T90, USA, green, BAE Systems
AMX-30, Russia, grey, Chrysler
T-80U, Germany, green, Uralazgad
Leopard 2A6, Sweden, sand, Volvo
T-80, France, black, Mitsubishi
Leopard 1A6, Russia, grey, Uralazgad
Challenger 2, Sweden, grey, Renault
M4A3 Sherman, Japan, grey, Chrysler
M48 Patton, Russia, green, Mitsubishi
Type 99A, Russia, brown, Renault
Stridsvagn 104, France, green, Renault
T-90S, Russia, black, Uralazgad
Centurion Mk 3, USA, brown, Chrysler
M48A2 Patton, China, sand, Chrysler
M1A1 Abrams, Russia, grey, Chrysler
Leopard 1A5, Russia, brown, Chrysler
Centurion, Russia, white, Chrysler
Type 98, USA, grey, Chrysler
M26 Pershing, UK, green, Krauss-Maffei
Leopard 2A6, Germany, grey, Uralazgad
Centurion, USA, grey, Volvo
Type 98, Japan, green, Renault
T-90M, France, brown, Krauss-Maffei
M48 Patton, China, black, Uralazgad
T-90M, Japan, grey, Krauss-Maffei
T-34, Japan, blue, Krauss-Maffei
M1A2 Abrams, Russia, grey, Norinco
Leopard 1, Russia, grey, Chrysler
Stridsvagn 104, Japan, green, Mitsubishi
Leopard 2A5, China, brown, Leyland
T-90S, China, blue, Volvo
Centurion Mk 5, Russia, brown, Chrysler
M26A1 Pershing, France, sand, Renault
AMX-30, Russia, green, Ford
M4 Sherman, Germany, grey, Volvo
T-14 Armata, UK, grey, Chrysler
Leopard 2A6, Russia, brown, Krauss-Maffei
M4 Sherman, Russia, green, Leyland
T-80, Germany, white, Uralazgad
AMX-30S, Germany, white, Krauss-Maffei
M4A4 Sherman, China, green, Uralazgad
M1A1 Abrams, USA, grey, Uralazgad
Type 61, Germany, sand, Chrysler
M1 Abrams, Russia, brown, Chrysler
Challenger 2, Russia, black, Krauss-Maffei
Centurion Mk 5, Russia, grey, Renault
Leopard 1A5, Sweden, green, Chrysler
Type 96, USA, brown, Uralazgad
Centurion Mk 5, Japan, brown, Chrysler
T-55A, Germany, green, Chrysler
M48 Patton, Sweden, grey, Uralazgad
Leopard 1, UK, green, Volvo
T-90S, USA, sand, Uralazgad
Leopard 1A6, USA, green, Mitsubishi
T-72AV, USA, grey, Leyland
Challenger 2, USA, brown, Chrysler
Leopard 2A5, China, green, Norinco
Type 99, USA, sand, Uralazgad
T-55A, China, brown, Uralazgad
T-55A, USA, brown, Uralazgad
Type 85, USA, brown, Chrysler
T-90M, Russia, green, Uralazgad
Type 99, Germany, brown, Chrysler
Type 96, UK, black, Leyland
Centurion Mk 5, China, grey, Uralazgad
M60 Patton, UK, grey, BAE Systems
M60A1 Patton, Russia, blue, Uralazgad
Type 99A, France, blue, Uralazgad
AMX-30, China, green, Mitsubishi
M48 Patton, Sweden, grey, Uralazgad
Type 99A, UK, green, Uralazgad
M48A2 Patton, Russia, grey, Uralazgad
Type 61, Russia, grey, Mitsubishi
T-72, Sweden, grey, Krauss-Maffei
M60 Patton, Japan, brown, Krauss-Maffei
T-90M, Russia, white, Norinco
Challenger 2, Russia, green, Renault
M1A1 Abrams, China, green, Uralazgad
M60 Patton, USA, grey, BAE Systems
Type 74, Russia, green, Chrysler
Leopard 1A6, USA, white, Chrysler
M4 Sherman, Russia, brown, Norinco
M26 Pershing, UK, green, Chrysler
M48A2 Patton, Russia, green, Krauss-Maffei
Centurion Mk 5, UK, green, Renault
M1A1 Abrams, Russia, white, Leyland
Leopard 1A6, USA, grey, Chrysler
M1A2 Abrams, Japan, grey, Ford
T-90S, France, brown, Norinco
Type 96, USA, grey, Uralazgad
T-34/85, Sweden, grey, Chrysler
Type 99A, Russia, grey, Renault
AMX-56, China, grey, Uralazgad
M48A2 Patton, Russia, sand, Chrysler
Leopard 1, Sweden, blue, Ford
Type 99A, Russia, grey, Mitsubishi
Challenger 2, Russia, grey, Volvo
Challenger 2, UK, green, Uralazgad
T-72AV, USA, brown, Uralazgad
Leopard 1A5, China, grey, Chrysler
